発売日,出版社,シリーズ名・書名,著者,予価,
26,KADOKAWA,角川コミックス・エースDジェネシス　ダンジョンが出来て3年（４）,平未夜／之貫紀ほか,未定,
26,KADOKAWA,角川コミックス・エース神様の用心棒（１）,冬野ケイ／霜月りつほか,未定,
26,KADOKAWA,角川コミックス・エースFate/Grand Order nipi作品集,ＴＹＰＥ－ＭＯＯＮ／ｎｉｐｉ,未定,
26,KADOKAWA,角川コミックス・エースマジで付き合う15分前（３）,Ｐｅｒｉｃｏ,未定,
26,KADOKAWA,角川コミックス・エースマジで付き合う15分前（４）,Ｐｅｒｉｃｏ,未定,
26,KADOKAWA,角川コミックス・エース竜殺しのブリュンヒルド（１）,東崎惟子／桐嶋たけるほか,未定,
26,KADOKAWA,角川コミックス・エース一式さんは恋を知りたい。（５）,あららぎあゆね,未定,
27,KADOKAWA,MFC キューンシリーズ異世界女子監獄（３）,いづみみなみ,未定,
27,KADOKAWA,MFC キューンシリーズ魔王が田舎に嫁いだら（２）,隆原ヒロタ,未定,
27,KADOKAWA,MFCジーンピクシブシリーズまつもとさん（仮）,松本支店,未定,
27,KADOKAWA,MFCジーンピクシブシリーズ殺戮の天使　Episode.0（７）,真田まこと／名束くだん,未定,
27,KADOKAWA,MFCジーンピクシブシリーズイケメン様でも青春したい！,あとろ,未定,
27,KADOKAWA,MFCジーンピクシブシリーズノベル　みなと商事コインランドリー　ひいらぐ旅路,椿ゆず／缶爪さわ,未定,
27,KADOKAWA,MFコミックス　ジーンシリーズ被虐のノエル（９）,しゃもじ／カナヲ,649,
27,KADOKAWA,単行本コミックス戦争は女の顔をしていない（４）,小梅けいと／スヴェトラーナ・アレクシエーヴィチほか,未定,
27,KADOKAWA,電撃コミックスEX仏ガール（２）,柚ちえこ,未定,
27,KADOKAWA,電撃コミックスNEXT異世界行ったら、すでに妹が魔王として君臨していた話。（４）,根田啓史,未定,
27,KADOKAWA,電撃コミックスNEXTTRPGプレイヤーが異世界で最強ビルドを目指す（１）　ヘンダーソン氏の福音を,内田テモ／Ｓｃｈｕｌｄほか,未定,
27,KADOKAWA,電撃コミックスNEXT宮廷鍛冶師の幸せな日常（３）　～ブラックな職場を追放されたが、隣国で公爵令嬢に溺愛されながらホワイトな生活を送ります～,上林眞／木嶋隆太ほか,未定,
27,KADOKAWA,電撃コミックスNEXT縁の下のチカラモチャー（２）　～魔王討伐したら若返ったので、学園で陰からサポートします～,ｔａｍａｇｏ／ポルカほか,未定,
27,KADOKAWA,電撃コミックスNEXT四畳半開拓日記（３）,春日水那／七菜ななほか,未定,
27,KADOKAWA,電撃コミックスNEXT愚かな天使は悪魔と踊る（15）,アズマサワヨシ,未定,
27,KADOKAWA,電撃コミックスNEXTその冒険者、取り扱い注意。　～正体は無敵の下僕たちを統べる異世界最強の魔導王～（７）,満月シオン／Ｓｉｎ　Ｇｕｉｌｔｙ（ツギクル）ほか,未定,
27,KADOKAWA,電撃コミックスNEXTリビルドワールド（９）,綾村切人／ナフセほか,未定,
27,KADOKAWA,電撃コミックスNEXT神を【神様ガチャ】で生み出し放題（１）　～実家を追放されたので、領主として気ままに辺境スローライフします～,こはるんるん／未定ほか,未定,
27,KADOKAWA,電撃コミックスNEXT怪物少年（２）,山路新,未定,
