出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,23,MFコミックス　フラッパーシリーズ,はなものがたり（１）,ｓｃｈｗｉｎｎ,704,
KADOKAWA,23,MFコミックス　フラッパーシリーズ,黄道寮の星座な日々（１）,缶乃,704,
KADOKAWA,23,あすかコミックスDX,Outsiders（１）,叶輝,未定,
KADOKAWA,23,あすかコミックスDX,Outsiders（２）,叶輝,未定,
KADOKAWA,23,あすかコミックスDX,Outsiders（３）,叶輝,未定,
KADOKAWA,24,あすかコミックスDX,ZONE-00（20）,九条キヨ,未定,
KADOKAWA,26,MFC キューンシリーズ,恥ずかしがり屋の妻と新婚生活はじめました（２）,桐灰きねそ,未定,
KADOKAWA,26,MFC キューンシリーズ,ケイヤクシマイ（１）,ヒジキ,未定,
KADOKAWA,26,MFC ジーンピクシブシリーズ,殺戮の天使　Episode.0（６）,真田まこと／名束くだん,未定,
KADOKAWA,26,MFコミックス　ジーンシリーズ,ニーチェ先生～コンビニに、さとり世代の新人が舞い降りた～（17）,ハシモト／松駒,649,
KADOKAWA,26,MFコミックス　ジーンシリーズ,狼ゲーム（５）,紺野ぱる／スタジオわさび,649,
KADOKAWA,26,角川コミックス・エース,武装少女マキャヴェリズム（13）,黒神遊夜／神崎かるな,未定,
KADOKAWA,26,角川コミックス・エース,痛いのは嫌なので防御力に極振りしたいと思います。（６）,おいもとじろう／夕蜜柑ほか,未定,
KADOKAWA,26,角川コミックス・エース,一式さんは恋を知りたい。（４）,あららぎあゆね,未定,
KADOKAWA,26,角川コミックス・エース,ただの屍のようだと言われて幾星霜、気づいたら最強のアンデッドになってた（２）,絢瀬あとり／九頭七尾ほか,未定,
KADOKAWA,26,角川コミックス・エース,衛宮さんちの今日のごはん（８）,ＴＡａ／只野まことほか,704,
KADOKAWA,26,角川コミックス・エース,女神寮の寮母くん。（９）,日野行望,未定,
KADOKAWA,26,角川コミックス・エース,田舎のホームセンター男の自由な異世界生活（９）,うさぴょん／古来歩ほか,未定,
KADOKAWA,26,角川コミックス・エース,理想の娘なら世界最強でも可愛がってくれますか？（７）,三河ごーすと／マッハダイほか,未定,
KADOKAWA,26,角川コミックス・エース,Dジェネシス　ダンジョンが出来て3年（３）,平未夜／之貫紀ほか,未定,
KADOKAWA,26,角川コミックス・エース,LV999の村人（12）,岩元健一／星月子猫ほか,未定,
