出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,15,B’s-LOVEY COMICS,ミオくんは飼い慣らされている,梅渋ちうこ,未定,
KADOKAWA,15,ハルタコミックス,ヴラド・ドラクラ（６）,大窪晶与,未定,
KADOKAWA,15,ハルタコミックス,ハルタ　2022-NOVEMBER volume 99,ハルタ編集部,未定,
KADOKAWA,15,ハルタコミックス,シャッター街のさくら姫（２）,宮本伶美,未定,
KADOKAWA,15,ハルタコミックス,大科学少女（下）,渋谷圭一郎,748,
KADOKAWA,15,ハルタコミックス,クラスのアイドルは今日も推せない,荒木美咲,未定,
KADOKAWA,15,ハルタコミックス,ようこそにんげん　しりもと作品選集（１）,しりもと,未定,
KADOKAWA,15,ハルタコミックス,お金の神様　しりもと作品選集（２）,しりもと,未定,
KADOKAWA,15,単行本コミックス,雨降り晴れて花ひかる（１）,大沢やよい,未定,
KADOKAWA,15,単行本コミックス,作りたい女と食べたい女（３）,ゆざきさかおみ,未定,
KADOKAWA,15,単行本コミックス,恋と呼ぶには青すぎる（１）,真くん,未定,
KADOKAWA,15,単行本コミックス,マイ・リグレット（１）,砂糖野しおん,未定,
KADOKAWA,15,単行本コミックス,裸足のせいめい（上）,栄太,未定,
KADOKAWA,17,Pomme Comics,異世界行ったら私の職業『野生児』だった（１）,ｍｕｃｃｏ／堂本葉知子ほか,未定,
KADOKAWA,17,Pomme Comics,異世界御奉仕記録（１）,山田パン／猫屋敷爺ほか,未定,
KADOKAWA,17,フルールコミックス,脳筋βは臆病Ωのお世話役,切野,未定,
KADOKAWA,17,フルールコミックス,エロ漫画家先生と壁越しのミツごと,景藤,未定,
KADOKAWA,17,フルールコミックス,スモークブルーの雨のち晴れ（２）,波真田かもめ,未定,
KADOKAWA,17,フロース　コミック,身代わり婚約者なのに、銀狼陛下がどうしても離してくれません！（１）,みやの真琴／くりたかのこほか,未定,
KADOKAWA,17,フロース　コミック,冒険者の服、作ります！（３）　～異世界ではじめるデザイナー生活～,すけお／甘沢林檎ほか,未定,
KADOKAWA,17,フロース　コミック,聖女をクビになったら、なぜか幼女化して魔王のペットになりました。（２）,ももやま／美雨音ハルほか,715,
KADOKAWA,17,フロース　コミック,転生悪役令嬢ですが、教師になって落ちこぼれ生徒たちに魔法でお仕置きしちゃいます！（２）,榎戸埜恵／涙鳴,未定,
KADOKAWA,17,フロース　コミック,お前のような初心者がいるか！　不遇職『召喚師』なのにラスボスと言われているそうです（２）,試咲／瀧岡くるじほか,715,
KADOKAWA,17,フロース　コミック,陛下、心の声がだだ漏れです！（３）,みまさか／シロヒほか,715,
KADOKAWA,17,フロース　コミック,勇者様の幼馴染という職業の負けヒロインに転生したので、調合師にジョブチェンジします。（５）,加々見絵里／日峰ほか,未定,
KADOKAWA,17,フロース　コミック,塔の諸島の糸織り乙女～転生チートはないけど刺繍魔法でスローライフします！～（１）,佃繁奈／渡来みずねほか,未定,
KADOKAWA,17,フロース　コミック,残り一日で破滅フラグ全部へし折ります（２）　ざまぁRTA記録24Hr.,福留しゅん／天城望,未定,
KADOKAWA,17,フロース　コミック,後宮妃の管理人（５）,廣本シヲリ／しきみ彰ほか,715,
KADOKAWA,17,フロース　コミック,異世界で姉に名前を奪われました（１）,ＮｉＫｒｏｍｅ／琴子,未定,
KADOKAWA,18,青騎士コミックス,紅椿妃（２）,高橋拡那,未定,
KADOKAWA,18,青騎士コミックス,北北西に曇と往け（６）,入江亜季,未定,
KADOKAWA,22,MFC,マギクラフト・マイスター（10）,吉舎和幸／秋ぎつねほか,未定,
KADOKAWA,22,MFC,異世界勇者ミズキ（１）,木村まつり,未定,
KADOKAWA,22,MFC,異世界勇者ミズキ（２）,木村まつり,未定,
KADOKAWA,22,MFC,異世界居酒屋さわこさん細腕繁盛記（２）,林雄一／鬼ノ城ミヤほか,未定,
KADOKAWA,22,MFC,余命2ヶ月の異世界健康法（２）,ムナカタ,未定,
KADOKAWA,22,MFC,令和のダラさん（１）,ともつか治臣,未定,
KADOKAWA,22,MFC,失格王子の成り上がり冒険譚（３）,天上涼太郎／未来人Ａほか,未定,
KADOKAWA,22,MFC,災害級使徒の花嫁探し（２）,ＳＵＡＮＮＡＩＷＡＮＺＩ／ＹＩＢＩＥ／ＳＦＡＣＧ／Ｌｕｋｅｚｒｃ,1034,
KADOKAWA,22,MFC,仏様からエチアイテムを貰う,田代哲也,未定,
KADOKAWA,22,MFC,かわいいひと,ＴＡＴＳＵＢＯＮ,未定,
KADOKAWA,22,MFC,呪いの魔剣で高負荷トレーニング！？　～知られちゃいけない仮面の冒険者～（４）,佐々川いこ／こげ丸ほか,未定,
KADOKAWA,22,MFC,従者は大魔皇（１）,未定,未定,
KADOKAWA,22,MFC,ふりだしから始まる覚醒者（１）,未定,未定,
KADOKAWA,22,MFC,NEEDY GIRL OVERDOSE 公式アンソロジーコミック,未定,649,
KADOKAWA,22,MFコミックス　アライブシリーズ,陰からマモル！（８）,まだらさい／阿智太郎,671,
KADOKAWA,22,MFコミックス　アライブシリーズ,古き掟の魔法騎士（２）,カワバタヨシヒロ／羊太郎ほか,671,
KADOKAWA,22,MFコミックス　アライブシリーズ,ちょっぴりえっちな三姉妹でも、お嫁さんにしてくれますか？（４）,鹿もみじ／浅岡旭ほか,671,
KADOKAWA,22,MFコミックス　アライブシリーズ,魔術師クノンは見えている（１）,Ｌａ－ｎａ／南野海風ほか,671,
KADOKAWA,22,MFコミックス　アライブシリーズ,ディーふらぐ！（17）,春野友矢,671,
KADOKAWA,22,MFコミックス　アライブシリーズ,探偵はもう、死んでいる。―the lost memory―（４）,ｐｏｎｉ／二語十ほか,671,
KADOKAWA,22,MFコミックス　フラッパーシリーズ,千年狐（８）　～干宝「捜神記」より～,張六郎,748,
KADOKAWA,22,単行本コミックス,ベルと紫太郎（２）,伊田チヨ子,未定,
