出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,26,角川コミックス・エースやり直し令嬢は竜帝陛下を攻略中（４）,柚アンコ／永瀬さらさ（角川ビーンズ文庫）ほか,未定,
KADOKAWA,26,角川コミックス・エース主人公じゃない！（４）,メイジ／ウスバーほか,未定,
KADOKAWA,26,角川コミックス・エース日常（11）,あらゐけいいち,未定,
KADOKAWA,26,角川コミックス・エースそのヲタク、元殺し屋。（３）,Ｋｏ－ｄａｉ,未定,
KADOKAWA,26,角川コミックス・エースけものみち（11）,暁なつめ／まったくモー助ほか,未定,
KADOKAWA,26,角川コミックス・エースひげを剃る。そして女子高生を拾う。（９）,しめさば／ぶーたほか,未定,
KADOKAWA,26,角川コミックス・エースアイドルマスター　シャイニーカラーズ（５）,バンダイナムコエンターテインメント／しのざきあきら,未定,
KADOKAWA,26,単行本コミックスアイドルマスター　シャイニーカラーズ　シャニマスえぶりでい！（３）,ギミー／バンダイナムコエンターテインメント,未定,
KADOKAWA,26,電撃コミックスEX美少女化したおじさんだけど、ガチ恋されて困ってます（５）,なぎと,未定,
KADOKAWA,26,電撃コミックスNEXTざつ旅　―That’s Journey―（８）,石坂ケンタ,未定,
KADOKAWA,26,電撃コミックスNEXT王都の外れの錬金術師（３）　～ハズレ職業だったので、のんびりお店経営します～,あさなや／ｙｏｃｃｏほか,未定,
KADOKAWA,26,電撃コミックスNEXT冴えない僕が君の部屋でシている事をクラスメイトは誰も知らない（１）,ヤマモトタケシ／未定ほか,未定,
KADOKAWA,26,電撃コミックスNEXTエルフの女の子とエッチなことをしちゃう　アンソロジーコミック,鶴山ミト／浜弓場双ほか,未定,
KADOKAWA,26,電撃コミックスNEXT異世界でチート能力を手にした俺は、現実世界をも無双する（４）　～レベルアップは人生を変えた～,港川一臣／美紅ほか,未定,
KADOKAWA,26,電撃コミックスNEXTヤンキーJKあやかさんの弱点（２）,小祭たまご,未定,
KADOKAWA,26,電撃コミックスNEXTぼくは異世界で付与魔法と召喚魔法を天秤にかける（２）,ツカモリシュウジ／横塚司ほか,未定,
KADOKAWA,26,電撃コミックスNEXT大罪ダンジョン教習所の反面教師　外れギフトの【案内人】が実は最強の探索者であることを、生徒たちはまだ知らない（２）,夏川そぞろ／御鷹穂積ほか,未定,
KADOKAWA,26,電撃コミックスNEXT異世界最強の大魔王、転生し冒険者になる（５）,オギノサトシ／月夜涙ほか,未定,
KADOKAWA,26,電撃コミックスNEXT何と言われようとも、僕はただの宮廷司書です。（１）,しまづ／安居院晃ほか,未定,
KADOKAWA,26,電撃コミックスNEXT押して駄目なら押してみろ！（７）,廣瀬アユム,未定,
KADOKAWA,26,電撃コミックスNEXTまったく最近の探偵ときたら（13）,五十嵐正邦,未定,
KADOKAWA,26,電撃コミックスNEXT無敵商人の異世界成り上がり物語　～現代の製品を自在に取り寄せるスキルがあるので異世界では楽勝です～（２）,隆原ヒロタ／青山有ほか,未定,
KADOKAWA,26,電撃コミックスNEXT限界超えの天賦は、転生者にしか扱えない（３）　―オーバーリミット・スキルホルダー―,長月みそか／三上康明ほか,未定,
KADOKAWA,27,B’s-LOG COMICS元ホームセンター店員の異世界生活（２）　～称号≪DIYマスター≫≪グリーンマスター≫≪ペットマスター≫を駆使して異世界を気儘に生きます～,八川キュウ／ＫＫほか,未定,
KADOKAWA,27,B’s-LOG COMICSキュンとして、山上くん（１）,くさりちまき,未定,
KADOKAWA,27,B’s-LOG COMICS大預言者は前世から逃げる　～三周目は公爵令嬢に転生したから、バラ色ライフを送りたい～（４）,りんこ／寿利真ほか,未定,
KADOKAWA,27,B’s-LOG COMICS落ちぶれ才女の幸福　陛下に棄てられたので、最愛の人を救いにいきます（１）,えとう綺羅／瀬尾優梨ほか,未定,
KADOKAWA,27,B’s-LOG COMICSBLゲームの主人公の弟であることに気がつきました（２）,加奈／花果唯ほか,未定,
KADOKAWA,27,B’s-LOG COMICS悪役令嬢は隣国の王太子に溺愛される（11）,ほしな／ぷにちゃんほか,未定,
KADOKAWA,27,B’s-LOG COMICS屋根裏部屋の公爵夫人（４）,林マキ／もりほか,未定,
KADOKAWA,27,MFC キューンシリーズわたしのために脱ぎなさいっ！（６）,九郎,未定,
KADOKAWA,27,MFC キューンシリーズおねぇちゃん日和（２）,ネリ夫,未定,
KADOKAWA,27,MFC キューンシリーズどれが恋かがわからない（２）,奥たまむし,未定,
KADOKAWA,27,MFC キューンシリーズ朝まで恋愛chu！　～幼なじみはトキめかない？～（２）,むにゅう／太田顕喜,未定,
KADOKAWA,27,MFC ジーンピクシブシリーズ花紡ぐ、庇護ノ神（３）,丹野いち子,未定,
KADOKAWA,27,MFC ジーンピクシブシリーズ俺が主役なわけがない（２）,ほとなか,未定,
KADOKAWA,27,MFC ジーンピクシブシリーズ乙ゲーにトリップした俺♂リロード　LV.5,花乃軍,未定,
KADOKAWA,27,MFC ジーンピクシブシリーズ今日、不良を拾う（２）,七生／夏野夕方,未定,
KADOKAWA,27,MFC ジーンピクシブシリーズたってはいけない男子寮（１）,アヤノソーダ,未定,
KADOKAWA,27,MFC ジーンピクシブシリーズ動物病院のおふたりさん,しののめ,未定,
KADOKAWA,27,MFコミックス　ジーンシリーズブラックシープ（２）,雅鳳みゃと,693,
KADOKAWA,27,MFコミックス　ジーンシリーズ准教授・高槻彰良の推察（５）,相尾灯自／澤村御影ほか,693,
KADOKAWA,27,MFコミックス　ジーンシリーズ談虎色変　―虎を談じて色変ず―,螢,693,
KADOKAWA,27,MFコミックス　ジーンシリーズ虚の記憶（３）,ネヲ／Ｅｖｅ,649,
