出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,24,あすかコミックスDX,Outsiders（5）,叶輝,未定,
KADOKAWA,24,あすかコミックスDX,30歳喪女、平成ギャルになる。（1）,山口しずか,未定,
KADOKAWA,25,MFC キューンシリーズ,偽りのマリィゴールド（1）,サスケ,未定,
KADOKAWA,25,MFC キューンシリーズ,どれが恋かがわからない（3）,奥たまむし,未定,
KADOKAWA,25,MFコミックス ジーンシリーズ,ニーチェ先生～コンビニに、さとり世代の新人が舞い降りた～（19）,ハシモト／松駒,682,
KADOKAWA,25,MFコミックス ジーンシリーズ,虚の記憶（4）,ネヲ／Eve,693,
KADOKAWA,25,MFコミックス ジーンシリーズ,かわいいせかいせいふく（2）,亜樹新,693,
KADOKAWA,25,角川コミックス・エース,幼女戦記（28）,東條チカ／カルロ・ゼンほか,未定,
KADOKAWA,25,角川コミックス・エース,追放された転生公爵は、辺境でのんびりと畑を耕したかった ～来るなというのに領民が沢山来るから内政無双をすることに～（3）,うみ／佐藤夕子ほか,未定,
KADOKAWA,25,角川コミックス・エース,世界最速のレベルアップ（4）,鈴見敦／八又ナガトほか,未定,
KADOKAWA,25,角川コミックス・エース,妹に聞いてみないと（2）,渡辺伊織,未定,
KADOKAWA,25,角川コミックス・エース,はじめてのギャル（17）,植野メグル,未定,
KADOKAWA,25,角川コミックス・エース,オタクにオトクなギャルぐらし（3）,火野遥人,未定,
KADOKAWA,25,角川コミックス・エース,陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです（2）,神奈なごみ／かがちさくほか,未定,
KADOKAWA,25,角川コミックス・エース,薬師と魔王（1） 永遠の眷恋に咲く,初瀬白／優月アカネ（メディアワークス文庫）ほか,未定,
KADOKAWA,25,角川コミックス・エース,天空の城をもらったので異世界で楽しく遊びたい（8）,Matsuki／井上みつるほか,未定,
KADOKAWA,25,角川コミックス・エース,聖騎士になったけど団長のおっぱいが凄すぎて心が清められない（2）,川喜田ミツオ／木の芽ほか,未定,
KADOKAWA,25,角川コミックス・エース,佐々木とピーちゃん（3） 異世界でスローライフを楽しもうとしたら、現代で異能バトルに巻き込まれた件 ～魔法少女がアップを始めたようです～,ぶんころり／プレジ和尚ほか,未定,
KADOKAWA,25,角川コミックス・エース,機動戦士ガンダムさん （21）の巻,大和田秀樹／矢立肇ほか,未定,
KADOKAWA,25,角川コミックス・エース,機動戦士ガンダムNT（11）,福井晴敏／大森倖三ほか,未定,
KADOKAWA,25,角川コミックス・エース,機動戦史ガンダム武頼（4）,礒部一真／矢立肇ほか,未定,
KADOKAWA,25,角川コミックス・エース,機動戦史ガンダム武頼（5）,礒部一真／矢立肇ほか,未定,
KADOKAWA,25,角川コミックス・エース,機動戦士ガンダムF91プリクエル（5）,おおのじゅんじ／サンライズほか,未定,
KADOKAWA,25,単行本コミックス,ヤッターメカ、ガンダムを生んだメカニックデザイナー 大河原邦男 プロフェッショナルの50年,大河原邦男,未定,
KADOKAWA,25,単行本コミックス,犬飼いちゃんと猫飼い先生（1） ごしゅじんたちは両片想い,未定／竹岡葉月ほか,未定,
KADOKAWA,25,電撃コミックスEX,東方智霊奇伝 反則探偵さとり 迷宮編（3）,ZUN／秋巻ゆう,未定,
KADOKAWA,25,電撃コミックスEX,これからだんだん幸せになっていく怖い女上司（1）,矢野トシノリ,未定,
KADOKAWA,25,電撃コミックスNEXT,大罪ダンジョン教習所の反面教師 外れギフトの【案内人】が実は最強の探索者であることを、生徒たちはまだ知らない（3）,夏川そぞろ／御鷹穂積ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,最強不敗の神剣使い（2）,不動らん／羽田遼亮ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,思春期男子はどうかしている。（2）,アメノ,未定,
KADOKAWA,25,電撃コミックスNEXT,真の実力はギリギリまで隠していようと思う（5）,猫夜叉／亀小屋サトほか,未定,
KADOKAWA,25,電撃コミックスNEXT,僕と君が夫婦になるまで（1）,しの,未定,
KADOKAWA,25,電撃コミックスNEXT,天下無双の乙女たちが俺の子種を奪い合っています！！！！！（1）,長谷良えりあ,未定,
KADOKAWA,25,電撃コミックスNEXT,叡智なビデオは好きですか？（2）,後藤羽矢子／玖珂ツニヤ,未定,
KADOKAWA,25,電撃コミックスNEXT,野人転生（7）,野人／小林嵩人,未定,
KADOKAWA,25,電撃コミックスNEXT,10年間友達だと思ってた男の子に告白されるお話（5）,〇線（まるせん）,未定,
KADOKAWA,25,電撃コミックスNEXT,私を喰べたい、ひとでなし（7）,苗川采,未定,
KADOKAWA,25,電撃コミックスNEXT,リアリスト魔王による聖域なき異世界改革（8）,鈴木マナツ／羽田遼亮ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,サトム・フォーリンラブ（1）,サンクス仮面,未定,
KADOKAWA,25,電撃コミックスNEXT,奇妙で怪異な日常譚！（1）,たるはる,未定,
KADOKAWA,25,電撃コミックスNEXT,おとなりのおねえさんにアレコレされるまんが（3）,貞清カズヒコ,未定,
KADOKAWA,25,電撃コミックスNEXT,画皮ちゃん！（3）,ちろたた,未定,
KADOKAWA,25,電撃コミックスNEXT,嘆きの亡霊は引退したい ～最弱ハンターによる最強パーティ育成術～（8）,蛇野らい／槻影ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,S級ギルドを追放されたけど、実は俺だけドラゴンの言葉がわかるので、気付いたときには竜騎士の頂点を極めてました。（3）,ひそな／三木なずなほか,未定,
KADOKAWA,25,電撃コミックスNEXT,異世界でチート能力を手にした俺は、現実世界をも無双する（5） ～レベルアップは人生を変えた～,港川一臣／美紅ほか,未定,
KADOKAWA,25,電撃コミックスNEXT,魔法空艇の案内係（2）,野間与太郎／四葉夕ト,未定,
KADOKAWA,25,電撃コミックスNEXT,家系女騎士（1）,錆狗村昌,未定,
KADOKAWA,25,電撃コミックスNEXT,悪いが私は百合じゃない（5）,もちオーレ,未定,
KADOKAWA,28,アライブ＋,酔っぱらい盗賊、奴隷の少女を買う（2）,幾弥なごみ／新巻へもんほか,未定,
KADOKAWA,28,アライブ＋,Lie:verse Liars 偽想廻明（2）,小町さんぺい／Liars Allianceほか,未定,
KADOKAWA,30,単行本コミックス,私の押しカップルは絶対だ！（1）,元気絵スタジオ／角川青羽ほか,未定,
KADOKAWA,30,単行本コミックス,Youtuberの夜顔（1）,Cangcang／Mo Hua,未定,
KADOKAWA,31,単行本コミックス,おののけ！ くわいだん部（2）,押切蓮介,未定,
講談社,4,モーニングKC,平和の国の島崎へ（3）,濱田轟天／瀬下猛,759,
講談社,4,ヤンマガKCスペシャル,ケンシロウによろしく（7）,ジャスミン・ギュ,726,
講談社,4,ヤンマガKCスペシャル,税金で買った本（8）,ずいの／系山冏,759,
講談社,4,ヤンマガKCスペシャル,ヤニねこ（1）,にゃんにゃんファクトリー,759,
講談社,4,ヤンマガKCスペシャル,令和陰陽師,吉田博嗣,759,
講談社,4,ヤンマガKCスペシャル,LILI-MEN（4）,渡嘉敷拓馬,759,
講談社,4,ヤンマガKCスペシャル,サツドウ（2）,雪永ちっち／なだいにし,759,
講談社,4,ヤンマガKCスペシャル,彼岸島 48日後…（40）,松本光司,759,
